t,x,u
0.04,0.5,1.01211
0.04,0.51,1.00809
0.04,0.52,1.00309
0.04,0.53,1.91487
0.04,0.54,0.0549067
0.04,0.55,0.998898
0.04,0.56,1.87554
0.04,0.57,0.947076
0.04,0.58,0.0177
0.04,0.59,0.0236
0.04,0.6,1.024
0.04,0.61,1.02391
0.04,0.62,1.02283
0.04,0.63,1.02076
0.04,0.64,1.01771
0.04,0.65,1.01369
0.04,0.66,1.00869
0.04,0.67,1.92047
0.04,0.68,0.0591067
0.04,0.69,1.0059
0.04,0.7,1.87974
0.04,0.71,0.951276
0.04,0.72,0.0219
0.04,0.73,0.0292
0.04,0.74,1.0296
0.04,0.75,1.02951
0.04,0.76,1.02843
0.04,0.77,1.02636
0.04,0.78,1.02331
0.04,0.79,1.01929
0.04,0.8,1.01429
0.04,0.81,1.92607
0.04,0.82,0.0633067
0.04,0.83,1.0129
0.04,0.84,1.88394
0.04,0.85,0.955476
0.04,0.86,0.0261
0.04,0.87,0.0348
0.04,0.88,1.0352
0.04,0.89,1.03511
0.04,0.9,1.03403
0.04,0.91,1.03196
0.04,0.92,1.02891
0.04,0.93,1.02489
0.04,0.94,1.01989
0.04,0.95,1.01392
0.04,0.96,1.00698
0.04,0.97,0.999094
0.04,0.98,0.990257
0.04,0.99,0.980481
0.04,1,0.969776
0.05,0,0.951229
0.05,0.01,0.961289
0.05,0.02,0.971446
0.05,0.03,0.981699
0.05,0.04,0.99205
0.05,0.05,1.0025
0.05,0.06,1.00251
0.05,0.07,1.00153
0.05,0.08,0.999562
0.05,0.09,0.996615
0.05,0.1,0.0749337
0.05,0.11,1.91886
0.05,0.12,0.969512
0.05,0.13,0.0688043
0.05,0.14,1.88783
0.05,0.15,1.86484
0.05,0.16,0.936476
0.05,0.17,0.0072
0.05,0.18,0.009
0.05,0.19,1.0095
0.05,0.2,1.00951
0.05,0.21,1.00853
0.05,0.22,1.00656
0.05,0.23,1.00361
0.05,0.24,0.0819337
0.05,0.25,1.92726
0.05,0.26,0.975112
0.05,0.27,0.0772043
0.05,0.28,1.89483
0.05,0.29,1.87044
0.05,0.3,0.942076
0.05,0.31,0.0128
0.05,0.32,0.016
0.05,0.33,1.0165
0.05,0.34,1.01651
0.05,0.35,1.01553
0.05,0.36,1.01356
0.05,0.37,1.01061
0.05,0.38,0.0889337
0.05,0.39,1.93566
0.05,0.4,0.980712
0.05,0.41,0.0856043
0.05,0.42,1.90183
0.05,0.43,1.87604
0.05,0.44,0.947676
0.05,0.45,0.0184
0.05,0.46,0.023
0.05,0.47,1.0235
0.05,0.48,1.02351
0.05,0.49,1.02253
0.05,0.5,1.02056
0.05,0.51,1.01761
