t,x,u
0.03,0.97,-0.953187
0.03,0.98,-0.958288
0.03,0.99,-0.962415
0.03,1,-0.965562
0.04,0,0.960789
0.04,0.01,0.970846
0.04,0.02,0.980999
0.04,0.03,0.99125
0.04,0.04,1.0016
0.04,0.05,1.00151
0.04,0.06,1.00043
0.04,0.07,0.998362
0.04,0.08,0.995315
0.04,0.09,0.991288
0.04,0.1,0.986287
0.04,0.11,0.980317
0.04,0.12,0.973383
0.04,0.13,0.965494
0.04,0.14,0.956657
0.04,0.15,0.946881
0.04,0.16,0.936176
0.04,0.17,0.924555
0.04,0.18,0.912027
0.04,0.19,0.898607
0.04,0.2,0.884307
0.04,0.21,0.869142
0.04,0.22,0.853128
0.04,0.23,0.836281
0.04,0.24,0.818617
0.04,0.25,0.800155
0.04,0.26,0.780913
0.04,0.27,0.760911
0.04,0.28,0.740169
0.04,0.29,0.718707
0.04,0.3,0.696547
0.04,0.31,0.673712
0.04,0.32,0.650224
0.04,0.33,0.626107
0.04,0.34,0.601385
0.04,0.35,0.576083
0.04,0.36,0.550227
0.04,0.37,0.523841
0.04,0.38,0.496954
0.04,0.39,0.46959
0.04,0.4,0.441779
0.04,0.41,0.413548
0.04,0.42,0.384925
0.04,0.43,0.355938
0.04,0.44,0.326617
0.04,0.45,0.296991
0.04,0.46,0.26709
0.04,0.47,0.236943
0.04,0.48,0.206581
0.04,0.49,0.176034
0.04,0.5,0.145333
0.04,0.51,0.114508
0.04,0.52,0.0835905
0.04,0.53,0.0526108
0.04,0.54,0.0216
0.04,0.55,-0.00941076
0.04,0.56,-0.0403905
0.04,0.57,-0.0713083
0.04,0.58,-0.102133
0.04,0.59,-0.132834
0.04,0.6,-0.163381
0.04,0.61,-0.193743
0.04,0.62,-0.22389
0.04,0.63,-0.253791
0.04,0.64,-0.283417
0.04,0.65,-0.312738
0.04,0.66,-0.341725
0.04,0.67,-0.370348
0.04,0.68,-0.398579
0.04,0.69,-0.42639
0.04,0.7,-0.453754
0.04,0.71,-0.480641
0.04,0.72,-0.507027
0.04,0.73,-0.532883
0.04,0.74,-0.558185
0.04,0.75,-0.582907
0.04,0.76,-0.607024
0.04,0.77,-0.630512
0.04,0.78,-0.653347
0.04,0.79,-0.675507
0.04,0.8,-0.696969
0.04,0.81,-0.717711
0.04,0.82,-0.737713
0.04,0.83,-0.756955
0.04,0.84,-0.775417
0.04,0.85,-0.793081
0.04,0.86,-0.809928
0.04,0.87,-0.825942
0.04,0.88,-0.841107
0.04,0.89,-0.855407
0.04,0.9,-0.868827
0.04,0.91,-0.881355
0.04,0.92,-0.892976
0.04,0.93,-0.903681
0.04,0.94,-0.913457
0.04,0.95,-0.922294
0.04,0.96,-0.930183
0.04,0.97,-0.937117
0.04,0.98,-0.943087
0.04,0.99,-0.948088
0.04,1,-0.952115
0.05,0,0.951229
0.05,0.01,0.961289
0.05,0.02,0.971446
0.05,0.03,0.981699
0.05,0.04,0.99205
0.05,0.05,1.0025
0.05,0.06,1.00251
0.05,0.07,1.00153
0.05,0.08,0.999562
0.05,0.09,0.996615
0.05,0.1,0.992688
0.05,0.11,0.987787
0.05,0.12,0.981917
0.05,0.13,0.975083
0.05,0.14,0.967294
0.05,0.15,0.958557
0.05,0.16,0.948881
0.05,0.17,0.938276
0.05,0.18,0.926755
0.05,0.19,0.914327
0.05,0.2,0.901007
0.05,0.21,0.886807
0.05,0.22,0.871742
0.05,0.23,0.855828
0.05,0.24,0.839081
0.05,0.25,0.821517
0.05,0.26,0.803155
0.05,0.27,0.784013
0.05,0.28,0.764111
0.05,0.29,0.743469
0.05,0.3,0.722107
0.05,0.31,0.700047
0.05,0.32,0.677312
0.05,0.33,0.653924
0.05,0.34,0.629907
0.05,0.35,0.605285
0.05,0.36,0.580083
0.05,0.37,0.554327
0.05,0.38,0.528041
0.05,0.39,0.501254
0.05,0.4,0.47399
0.05,0.41,0.446279
0.05,0.42,0.418148
0.05,0.43,0.389625
0.05,0.44,0.360738
0.05,0.45,0.331517
0.05,0.46,0.301991
0.05,0.47,0.27219
0.05,0.48,0.242143
0.05,0.49,0.211881
0.05,0.5,0.181434
0.05,0.51,0.150833
0.05,0.52,0.120108
0.05,0.53,0.0892905
0.05,0.54,0.0584108
0.05,0.55,0.0275
0.05,0.56,-0.00341076
0.05,0.57,-0.0342905
0.05,0.58,-0.0651083
0.05,0.59,-0.0958332
0.05,0.6,-0.126434
0.05,0.61,-0.156881
0.05,0.62,-0.187143
0.05,0.63,-0.21719
0.05,0.64,-0.246991
0.05,0.65,-0.276517
0.05,0.66,-0.305738
0.05,0.67,-0.334625
0.05,0.68,-0.363148
0.05,0.69,-0.391279
0.05,0.7,-0.41899
0.05,0.71,-0.446254
0.05,0.72,-0.473041
0.05,0.73,-0.499327
0.05,0.74,-0.525083
0.05,0.75,-0.550285
0.05,0.76,-0.574907
0.05,0.77,-0.598924
0.05,0.78,-0.622312
0.05,0.79,-0.645047
0.05,0.8,-0.667107
0.05,0.81,-0.688469
0.05,0.82,-0.709111
0.05,0.83,-0.729013
0.05,0.84,-0.748155
0.05,0.85,-0.766517
0.05,0.86,-0.784081
0.05,0.87,-0.800828
0.05,0.88,-0.816742
0.05,0.89,-0.831807
0.05,0.9,-0.846007
0.05,0.91,-0.859327
0.05,0.92,-0.871755
0.05,0.93,-0.883276
0.05,0.94,-0.893881
0.05,0.95,-0.903557
0.05,0.96,-0.912294
0.05,0.97,-0.920083
0.05,0.98,-0.926917
0.05,0.99,-0.932787
0.05,1,-0.937688
0.06,0,0.941765
0.06,0.01,0.951829
0.06,0.02,0.961989
0.06,0.03,0.972246
0.06,0.04,0.982599
0.06,0.05,0.99305
0.06,0.06,1.0036
0.06,0.07,1.00371
0.06,0.08,1.00283
0.06,0.09,1.00096
0.06,0.1,0.998115
0.06,0.11,0.994288
0.06,0.12,0.989487
0.06,0.13,0.983717
0.06,0.14,0.976983
0.06,0.15,0.969294
0.06,0.16,0.960657
0.06,0.17,0.951081
0.06,0.18,0.940576
0.06,0.19,0.929155
0.06,0.2,0.916827
0.06,0.21,0.903607
0.06,0.22,0.889507
0.06,0.23,0.874542
0.06,0.24,0.858728
0.06,0.25,0.842081
0.06,0.26,0.824617
0.06,0.27,0.806355
0.06,0.28,0.787313
0.06,0.29,0.767511
0.06,0.3,0.746969
0.06,0.31,0.725707
0.06,0.32,0.703747
0.06,0.33,0.681112
0.06,0.34,0.657824
0.06,0.35,0.633907
0.06,0.36,0.609385
0.06,0.37,0.584283
0.06,0.38,0.558627
0.06,0.39,0.532441
0.06,0.4,0.505754
0.06,0.41,0.47859
0.06,0.42,0.450979
0.06,0.43,0.422948
0.06,0.44,0.394525
0.06,0.45,0.365738
0.06,0.46,0.336617
0.06,0.47,0.307191
0.06,0.48,0.27749
0.06,0.49,0.247543
0.06,0.5,0.217381
0.06,0.51,0.187034
0.06,0.52,0.156533
0.06,0.53,0.125908
0.06,0.54,0.0951905
0.06,0.55,0.0644108
0.06,0.56,0.0336
0.06,0.57,0.00278924
0.06,0.58,-0.0279905
0.06,0.59,-0.0587083
0.06,0.6,-0.0893332
0.06,0.61,-0.119834
0.06,0.62,-0.150181
0.06,0.63,-0.180343
0.06,0.64,-0.21029
0.06,0.65,-0.239991
0.06,0.66,-0.269417
0.06,0.67,-0.298538
0.06,0.68,-0.327325
0.06,0.69,-0.355748
0.06,0.7,-0.383779
0.06,0.71,-0.41139
0.06,0.72,-0.438554
0.06,0.73,-0.465241
0.06,0.74,-0.491427
0.06,0.75,-0.517083
0.06,0.76,-0.542185
0.06,0.77,-0.566707
0.06,0.78,-0.590624
0.06,0.79,-0.613912
0.06,0.8,-0.636547
0.06,0.81,-0.658507
0.06,0.82,-0.679769
0.06,0.83,-0.700311
0.06,0.84,-0.720113
0.06,0.85,-0.739155
0.06,0.86,-0.757417
0.06,0.87,-0.774881
0.06,0.88,-0.791528
0.06,0.89,-0.807342
0.06,0.9,-0.822307
0.06,0.91,-0.836407
0.06,0.92,-0.849627
0.06,0.93,-0.861955
0.06,0.94,-0.873376
0.06,0.95,-0.883881
0.06,0.96,-0.893457
0.06,0.97,-0.902094
0.06,0.98,-0.909783
0.06,0.99,-0.916517
0.06,1,-0.922287
0.07,0,0.932394
0.07,0.01,0.942465
0.07,0.02,0.952629
0.07,0.03,0.962889
0.07,0.04,0.973246
0.07,0.05,0.983699
0.07,0.06,0.99425
0.07,0.07,1.0049
0.07,0.08,1.00511
0.07,0.09,1.00433
0.07,0.1,1.00256
0.07,0.11,0.999815
0.07,0.12,0.996088
0.07,0.13,0.991387
0.07,0.14,0.985717
0.07,0.15,0.979083
0.07,0.16,0.971494
0.07,0.17,0.962957
0.07,0.18,0.953481
0.07,0.19,0.943076
0.07,0.2,0.931755
0.07,0.21,0.919527
0.07,0.22,0.906407
0.07,0.23,0.892407
0.07,0.24,0.877542
